FECH;ORIGEN;CANTI;FOBDOL;FOBPES
2312;USA;84;111249;440089316
2312;PAN;10;8120;32122972
2312;DEU;294;1838;7245318
2312;DEU;195;679;2678303
2312;DEU;360;1918;7562732
2312;DEU;60;278;1094191
2312;DEU;26;131;523725
2312;DEU;299;1511;6042428
2312;DEU;12;97;387456
2312;DEU;3;21;85648
2312;DEU;25453;13980;55900529
2312;DEU;8320;21815;85791181
2312;DEU;2540;1495;5868005
2312;DEU;40;2;7891
2312;DEU;36;15;58887
2312;DEU;31;1500;5998815
2312;DEU;3700;592;2324056
2312;DEU;32840;5569;21866888
2312;DEU;69;110274;436560253
2312;DEU;1400;252;991013
2312;DEU;25600;4411;17347441
2312;DEU;500;1500;5974725
2312;DEU;31;2502;9965841
2312;DEU;10600;1908;7629157
2312;DEU;81040;14528;57782797
2312;DEU;50136;13866;55148535
2312;DEU;2310;372;1496031
2312;DEU;11830;2096;8432246
2312;DEU;144;560;2234148
2312;DEU;1374;6064;24190636
2312;DEU;405;6055;24119328
2312;DEU;560;19389;77216693
2312;DEU;1;22500;89621313
2312;DEU;11860;7616;30073660
2312;DEU;216;11475;45403821
2312;DEU;277;10214;40416088
2312;DEU;771;14116;55855088
2312;DEU;47;2640;10444699
2312;DEU;110;3425;13553130
2312;DEU;147;33328;133293643
2312;DEU;440;684;2734061
2312;DEU;1780;12056;48204037
2312;DEU;288;214;856878
2312;DEU;54155;19841;78605491
2312;DEU;7;383;1499610
2312;DEU;1;50;195772
2312;DEU;12420;2236;8845733
2312;DEU;525;5565;22162613
2312;DEU;172;1486;5980381
2312;DEU;5600;1064;4119223
2312;DEU;8400;1592;6163348
2312;DEU;5680;966;3860961
2312;DEU;17160;3256;13019149
2312;DEU;75940;13993;54935836
2312;DEU;13410;2426;9574007
2312;DEU;99968;18204;73079992
2312;DEU;17163;18415;72847609
2312;DEU;19280;2668;10536126
2312;DEU;51040;7528;29616256
2312;DEU;3660;659;2634218
2312;DEU;20020;5137;20540346
2312;DEU;1800;917;3628349
2312;DEU;84;135475;548026180
2312;DEU;7100;2767;10860800
2312;DEU;1;972;3870865
2312;DEU;2160;9490;36269726
2312;DEU;6;23;88718
2312;DEU;3;2;7765
2312;DEU;36;149;587511
2312;DEU;9400;42159;163199624
2312;DEU;3200;800;3192704
2312;DEU;21;112;449191
2312;DEU;108;470;1887292
2312;DEU;38;110;437837
2312;DEU;50;438;1760154
2312;DEU;35;181;726592
2312;DEU;32;207;833086
2312;DEU;50;172;687744
2312;DEU;388;2683;10766905
2312;DEU;385;2231;8923975
2312;DEU;38;119;473823
2312;DEU;29;243;971638
2312;DEU;37;164855;648305433
2312;DEU;98;11632;46526153
2312;DEU;82;4363;17453127
2312;DEU;1;8487;33373925
2312;DEU;465;25101;98710762
2312;DEU;2;5;19224
2312;DEU;2;1971;7881721
2312;DEU;12;11263;45043490
2312;DEU;8460;1354;5354679
2312;DEU;87120;16499;65516123
2312;DEU;2;91000;353010550
2312;DEU;4080;555;2195527
2312;DEU;6800;925;3659212
2312;DEU;15300;3825;15265116
2312;DEU;24140;6035;24084961
2312;DEU;4200;672;2658351
2312;DEU;48160;7706;30482429
2312;DEU;17700;4386;17504560
2312;DEU;2400;707;2738393
2312;DEU;985;6163;24194521
2312;DEU;150;679;2628327
2312;DEU;22900;3294;12929203
2312;DEU;2898;2648878;10476910283
2312;DEU;307;25974;103458338
2312;DEU;1970685;11658;46612950
2312;DEU;322;10299;41024214
2312;DEU;675500;3152;12396192
2312;ARM;2000;340;1367891
2312;ARM;67;158;631365
2312;ARM;1214;3656;14617753
2312;ARM;147;323;1290319
2312;ARM;400;74;294705
2312;ARM;3550;607;2428776
2312;ARM;9440;2926;11678911
2312;ARM;800;140;557550
2312;ARM;4190;770;3093280
2312;ARM;35450;5939;23789197
2312;ARM;1885;401;1611698
2312;ARM;250;25;98919
2312;ARM;7;20;79135
2312;ARM;350;63;251906
2312;ARM;350;60;237995
2312;ARM;6050;993;3969911
2312;ARM;4000;220;876293
2312;ABW;13972;4318;17227122
2312;ABW;3425;911;3603609
2312;ABW;1548;435;1739752
2312;ABW;258;40;158141
2312;ABW;3502;587;2332124
2312;ABW;516;119;474463
2312;ABW;18060;4569;18270552
2312;ABW;289;2769;11071194
2312;ABW;130;1067;4221834
2312;ABW;40;103;414230
2312;ABW;80;86;344548
2312;ABW;70;206;829666
2312;ABW;50;1406;5529222
2312;ABW;90;2271;8952728
2312;ABW;54;1218;4803399
2312;ABW;159;4085;16108894
2312;ABW;58;1749;6894506
2312;ABW;337;9732;38374751
2312;ABW;148;2788;10994469
2312;ABW;36;500;1973092
2312;ABW;36;629;2481743
2312;ABW;2325;744;2925847
2312;ABW;1296;569;2237250
2312;ABW;5380;2389;9553240
2312;ABW;2018;597;2388270
2312;ABW;1345;448;1791213
2312;ABW;336;119;477662
2312;ABW;8743;2258;9027836
2312;ABW;108;358;1432986
2312;ABW;0;35;139410
2312;ABW;32;358;1369823
2312;ABW;13;93;355451
2312;ABW;680;190;749964
2312;ABW;1040;273;1075659
2312;ABW;710;213;839865
2312;ABW;360;72;283898
2312;ABW;370;358;1412590
2312;ABW;1718;1216;4793423
2312;ABW;198;2403;9475022
2312;ABW;40;82;322438
2312;ABW;35;79;312211
2312;ABW;84;183;722070
2312;ABW;90;183;714357
2312;ABW;70;158;615471
2312;ABW;204;444;1732285
2312;ABW;188;717;2860507
2312;ABW;3;32;127586
2312;ABW;79;416;1660850
2312;ABW;10;54;214638
2312;ABW;1571;7530;30041391
2312;ABW;30;61;245200
2312;ABW;30;68;271340
2312;ABW;84;183;732207
2312;ABW;447;345413;1356311290
2312;BIH;1600;272;1087976
2312;BIH;32960;9098;36378444
2312;BIH;9900;1188;4750230
2312;AGO;1;1608;6404935
