DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
2311;USA;95;104645;422470536
2311;PAN;12;12125;48952665
2311;DEU;480;3000;12111570
2311;DEU;90;635;2561597
2311;DEU;60;228;920479
2311;DEU;270;941;3796977
2311;DEU;1204;6903;27612298
2311;DEU;64;296;1195008
2311;DEU;32;9256;36845082
2311;DEU;9;5175;20599967
2311;DEU;9;3267;13004849
2311;DEU;16;4560;18151855
2311;DEU;1380;1094;4347840
2311;DEU;28995;15999;65473597
2311;DEU;50;4930;20294789
2311;DEU;245;54726;225284504
2311;DEU;20;6256;25753387
2311;DEU;20;3604;14836190
2311;DEU;20;4216;17355543
2311;DEU;20;3332;13716478
2311;DEU;20;3332;13716478
2311;DEU;100;7780;32027070
2311;DEU;1088;157775;636965634
2311;DEU;1;2526;10080297
2311;DEU;27;60;247063
2311;DEU;9;20;82354
2311;DEU;1300;200;811388
2311;DEU;38160;6102;24935734
2311;DEU;62;99872;405667866
2311;DEU;5600;1008;4098316
2311;DEU;12480;2246;9133391
2311;DEU;13;1484;5883801
2311;DEU;2560;461;1870917
2311;DEU;50;18500;74688015
2311;DEU;44787;13918;56397252
2311;DEU;1800;297;1181121
2311;DEU;10080;1808;7210408
2311;DEU;17;50;199764
2311;DEU;38;104;412211
2311;DEU;20;50;198179
2311;DEU;82;320;1268342
2311;DEU;24;88;348794
2311;DEU;120;583;2310761
2311;DEU;1198;5380;21324403
2311;DEU;13;70;277450
2311;DEU;8;29;112962
2311;DEU;2;287;1183314
2311;DEU;1;568;2339582
2311;DEU;1;194;799401
2311;DEU;986;88155;362897703
2311;DEU;9;326;1340156
2311;DEU;1;41;168863
2311;DEU;2;6331;26063613
2311;DEU;6;6874;28296781
2311;DEU;1;372;1531010
2311;DEU;5;8753;36012709
2311;DEU;19660;6549;26330876
2311;DEU;3;2238;9052867
2311;DEU;2;747;2960708
2311;DEU;4;450;1787799
2311;DEU;1;1457;5997872
2311;DEU;1;374;1540387
2311;DEU;38;7457;30514581
2311;DEU;1;50;200253
2311;DEU;1;50;200253
2311;DEU;21600;2943;11881046
2311;DEU;58200;8776;35547304
2311;DEU;560;4922;20140648
2311;DEU;810;3487;13914183
2311;DEU;3;10316;41005041
2311;DEU;4;13933;56388384
2311;DEU;5;18860;76329911
2311;DEU;6000;1140;4648282
2311;DEU;14400;2736;11155876
2311;DEU;0;27;106493
2311;DEU;1;83;329257
2311;DEU;1;514;2044667
2311;DEU;5;21;85186
2311;DEU;16;95;379343
2311;DEU;8;39;153359
2311;DEU;3;23;90274
2311;DEU;1;8;31960
2311;DEU;2;2;6837
2311;DEU;2;51;203167
2311;DEU;2;73;289665
2311;DEU;2;355;1409726
2311;DEU;1;122;485597
2311;DEU;1;74;292209
2311;DEU;1;334;1329032
2311;DEU;20;643;2555824
2311;DEU;1;26;102239
2311;DEU;29;5556;22086196
2311;DEU;0;2;8586
2311;DEU;2;9498;39078390
2311;DEU;1;1824;7502860
2311;DEU;5;14005;57619150
2311;DEU;145;725;2941282
2311;DEU;2;21968;87323982
2311;DEU;101;6315;25102216
2311;DEU;16;26255;106187801
2311;DEU;24320;4717;19232469
2311;DEU;3231;4972;19773047
2311;DEU;58360;10577;43436054
2311;DEU;1;5471;21652485
2311;DEU;10530;1895;7693329
2311;DEU;79320;14443;57579527
2311;DEU;2050;369;1467454
2311;DEU;11100;2781;11058001
2311;DEU;2250;1202;4918981
2311;DEU;1;924;3657454
2311;DEU;510;770;3062564
2311;DEU;978;5514;22482189
2311;DEU;300;1918;7899003
2311;DEU;3;28040;111463153
2311;DEU;11;113982;453086761
2311;DEU;1;44999;183219947
2311;DEU;1;300;1213353
2311;DEU;1056;6336;26068141
2311;DEU;1836;9949;40708065
2311;DEU;200;1200;4937148
2311;DEU;1224;6357;26154542
2311;DEU;12;47;191233
2311;DEU;2139;12960;52717346
2311;DEU;597;1622;6579112
2311;DEU;16172;96475;392943488
2311;DEU;6400;832;3332210
2311;DEU;9;48;189657
2311;DEU;48;291;1154192
2311;DEU;13;40;156561
2311;DEU;280;2114;8378987
2311;DEU;118;868;3441489
2311;DEU;25;129;511301
2311;DEU;34;216;857320
2311;DEU;263;1873;7423767
2311;DEU;145;958;3797695
2311;DEU;59;54077;219065628
2311;DEU;400;114;460240
2311;DEU;10440;1670;6743722
2311;DEU;91440;13691;55141540
2311;DEU;559;4740;19398995
2311;DEU;2720;370;1497107
2311;DEU;4420;606;2450687
2311;DEU;5780;751;3009402
2311;DEU;9520;1238;4956662
2311;DEU;4760;1483;5901343
2311;DEU;11970;1915;7591029
2311;DEU;58440;9350;37060965
2311;DEU;8160;2448;9767251
2311;DEU;4;4400;17981766
2311;DEU;1820;14875;58958104
2311;DEU;1280;13;51071
2311;DEU;16070;4557;18435491
2311;DEU;8050;2459;9790060
2311;DEU;3334;2858384;11575369464
2311;DEU;435;8232;33294892
2311;DEU;2261524;30131;122504692
2311;DEU;107804;1112;4496039
2311;ARM;50;1;2028
2311;ARM;100;10;39807
2311;ARM;70;7;27865
2311;ARM;60;6;23884
2311;ARM;12;15;59710
2311;ARM;400;68;270306
2311;ARM;8640;2678;10813210
2311;ARM;400;74;301731
2311;ARM;1800;331;1349633
2311;ARM;560;1838;7474548
2311;ARM;60;138;561079
2311;ARM;970;155;617206
2311;ARM;38505;5842;23233693
2311;ARM;400;4;15907
2311;ARM;2900;437;1773004
2311;ARM;3950;580;2351240
2311;ARM;200;64;258380
2311;ARM;800;144;572413
2311;ARM;1050;160;649347
2311;ARM;2100;325;1319999
2311;ARM;76;2;6171
2311;ABW;1;76;303299
2311;ABW;4;182;723466
2311;ABW;240;10598;42128004
2311;ABW;9;748;2971777
2311;ABW;3;183;726249
2311;ABW;2;127;506426
2311;ABW;9;422;1677885
2311;ABW;3;205;815291
2311;ABW;33;2272;9032199
2311;ABW;25;998;3965152
2311;ABW;15;108;428515
2311;ABW;1;18;72347
2311;ABW;2842;799;3242469
2311;ABW;2639;803;3255775
2311;ABW;1734;899;3646215
2311;ABW;184;705;2861076
2311;ABW;1500;2858;11559210
2311;ABW;2;7225;28720025
2311;ABW;1;5054;20090105
2311;ABW;600;3600;14363604
2311;ABW;73;3948;15624326
2311;ABW;106;5000;19789483
2311;ABW;158;3617;14313513
2311;ABW;205;9321;36890374
2311;ABW;63;3664;14500636
2311;ABW;10;3;12180
2311;ABW;9868;6221;25116328
2311;ABW;219;285;1150034
2311;ABW;877;1139;4600095
